refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,30,240,0,53,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,30,130,0,28,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,12,50,0,11,35–45,Tall,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,16,70,0,14,45–55,Grande,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,24,90,0,20,5–85,Venti Iced,,
refreshers,Violet Drink,12,90,2,15,35,Tall,,
refreshers,Violet Drink,16,110,3,19,45,Grande,,
refreshers,Violet Drink,24,160,4,28,70,Venti Iced,,
refreshers,Violet Drink,30,230,6,39,90,Trenta Iced,,
evolution-fresh,Evolution Fresh® Orange,11,170,0,35,0,,,
evolution-fresh,Evolution Fresh® Organic Defense Up,11,170,0,37,0,,,
evolution-fresh,Evolution Fresh® Organic Green Devotion,11,35,0,5,0,,,
evolution-fresh,Evolution Fresh® Organic Super Fruit Greens,11,180,0,36,0,,,
iced-tea,Nitro Lemon Fog,12,180,10,18,0,Tall,,
iced-tea,Nitro Lemon Fog,16,260,16,25,0,Grande,,
iced-tea,Nitro Lemon Fog,24,320,18,35,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,30,70,0,19,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,12,30,0,8,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea,16,45,0,11,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea,24,60,0,16,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,30,170,0,41,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,12,70,0,16,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,16,90,0,22,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,24,130,0,33,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,30,70,0,19,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,12,30,0,8,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea,16,45,0,11,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea,24,60,0,16,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,30,170,0,41,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,12,70,0,16,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,16,90,0,22,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,24,140,0,33,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,30,70,0,19,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,12,30,0,8,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,16,45,0,11,0,Grande,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,24,60,0,16,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,30,170,0,41,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,12,70,0,16,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,16,90,0,22,0,Grande,,
