iced-tea,Teavana® Shaken Iced Black Tea Lemonade,170,41,0
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,70,16,0
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,90,22,0
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,130,33,0
iced-tea,Teavana® Shaken Iced Green Tea,70,19,0
iced-tea,Teavana® Shaken Iced Green Tea,30,8,0
iced-tea,Teavana® Shaken Iced Green Tea,45,11,0
iced-tea,Teavana® Shaken Iced Green Tea,60,16,0
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,170,41,0
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,70,16,0
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,90,22,0
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,140,33,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,70,19,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,30,8,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,45,11,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,60,16,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,170,41,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,70,16,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90,22,0
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,140,33,0
bottled-drinks,Starbucks® Iced Coffee Light Sweetened,50,11,0
bottled-drinks,Starbucks® Iced Coffee Unsweetened,10,0,0
bottled-drinks,Starbucks® Iced Latte - Pumpkin Spice Latte,270,42,4.5
bottled-drinks,Teavana® Mango Black Tea,100,22,0
bottled-drinks,Teavana® Pineapple Berry Iced Tea,90,21,0
brewed-coffee,Blonde Roast,5,0,0
brewed-coffee,Blonde Roast,5,0,0
brewed-coffee,Blonde Roast,5,0,0
brewed-coffee,Blonde Roast,5,0,0
brewed-coffee,Caffè Misto,30,2,2
brewed-coffee,Caffè Misto,40,3,2.5
brewed-coffee,Caffè Misto,35,5,0
brewed-coffee,Caffè Misto,70,5,3.5
brewed-coffee,Caffè Misto,50,5,2
brewed-coffee,Caffè Misto,50,5,1.5
brewed-coffee,Caffè Misto,40,2,2.5
brewed-coffee,Caffè Misto,60,5,3.5
brewed-coffee,Caffè Misto,60,8,0
brewed-coffee,Caffè Misto,100,8,5
brewed-coffee,Caffè Misto,80,8,3
brewed-coffee,Caffè Misto,80,8,2.5
brewed-coffee,Caffè Misto,50,3,3.5
brewed-coffee,Caffè Misto,70,7,4.5
brewed-coffee,Caffè Misto,70,10,0
brewed-coffee,Caffè Misto,130,10,7
brewed-coffee,Caffè Misto,110,10,4
brewed-coffee,Caffè Misto,100,10,3
brewed-coffee,Caffè Misto,60,3,3.5
brewed-coffee,Caffè Misto,80,7,5
brewed-coffee,Caffè Misto,90,13,0
brewed-coffee,Caffè Misto,160,13,9
brewed-coffee,Caffè Misto,130,13,5
brewed-coffee,Caffè Misto,130,13,4
brewed-coffee,Clover® Brewed Coffee,10,0,0
brewed-coffee,Clover® Brewed Coffee,10,0,0
brewed-coffee,Clover® Brewed Coffee,10,0,0
brewed-coffee,Clover® Brewed Coffee,10,0,0
iced-coffee,Cold Brew with Cascara Cold Foam,50,11,0
iced-coffee,Cold Brew with Cascara Cold Foam,80,17,0
iced-coffee,Cold Brew with Cascara Cold Foam,100,22,0
iced-coffee,Cold Brew with Cascara Cold Foam,130,28,0
brewed-coffee,Cold Brew with Cold Foam,30,5,0
brewed-coffee,Cold Brew with Cold Foam,35,7,0
brewed-coffee,Cold Brew with Cold Foam,40,7,0
brewed-coffee,Cold Brew with Cold Foam,45,8,0
brewed-coffee,Cold Brew with Salted Cream Cold Foam,160,17,10
brewed-coffee,Cold Brew with Salted Cream Cold Foam,230,23,14
brewed-coffee,Cold Brew with Salted Cream Cold Foam,280,30,17
brewed-coffee,Cold Brew with Salted Cream Cold Foam,340,36,21
brewed-coffee,Decaf Pike Place® Roast,5,0,0
brewed-coffee,Decaf Pike Place® Roast,5,0,0
brewed-coffee,Decaf Pike Place® Roast,5,0,0
brewed-coffee,Decaf Pike Place® Roast,5,0,0
